question_id,english,Japanese/After revision
1,I am the life of the party.,パーティーでは中心的な存在になる。
2,I feel little concern for others.,他人への関心はほとんどない。
3,I am always prepared.,常に（何事にも）しっかり準備をして臨む。
4,I get stressed out easily.,ストレスを感じやすい。
5,I have a rich vocabulary.,語彙力がある方だ。
6,I don't talk a lot.,口数は少ない方だ。
7,I am interested in people.,他人に興味を持つ方だ。
8,I leave my belongings around.,物を出しっぱなしにしたり、置き忘れたりする。
9,I am relaxed most of the time.,たいていリラックスしている。
10,I have difficulty understanding abstract ideas.,抽象的な概念を理解するのが苦手だ。
11,I feel comfortable around people.,人の中にいても、気後れせず自然体でいられる。
12,I insult people.,他人に対して、ひどい言葉（きつい言葉）を使ってしまうことがある。
13,I pay attention to details.,細かいところまで、よく気がつく方だ。
14,I worry about things.,いろいろなことが気にかかり、心配になりやすい。
15,I have a vivid imagination.,想像力が豊かだ。
16,I keep in the background.,自分から前に出ることはない。
17,I sympathize with others' feelings.,他人の気持ちに共感できる。
18,I make a mess of things.,物事を台無しにしてしまうことがある
19,I seldom feel blue.,気分が落ち込むことは滅多にない。
20,I am not interested in abstract ideas.,抽象的な考えには興味がない。
21,I start conversations.,自分から進んで話しかける。
22,I am not interested in other people's problems.,他人の問題に興味がない。
23,I get chores done right away.,やるべきことをすぐに片付ける。
24,I am easily disturbed.,すぐに動揺する。
25,I have excellent ideas.,素晴らしいアイデアを持っている。
26,I have little to say.,積極的に発言するほうではない
27,I have a soft heart.,お人好しな方だ。 / 情に厚い。
28,I often forget to put things back in their proper place.,物を元の場所に戻すのをよく忘れる。
29,I get upset easily.,すぐに動揺する。
30,I do not have a good imagination.,想像力があまり豊かではない。
31,I talk to a lot of different people at parties.,パーティーでは多くの人に話しかける。
32,I am not really interested in others.,他人にはあまり興味がない。
33,I like order.,きちんとしていることが好きだ。
34,I change my mood a lot.,その時の気分で、態度や言動が変わりやすい。
35,I am quick to understand things.,物事の理解が早い。
36,I don't like to draw attention to myself.,自分に注目が集まるのは好きではない。
37,I take time out for others.,他人のために時間を割く。
38,I shirk my duties.,やるべき義務を怠る。
39,I have frequent mood swings.,感情の起伏（波）が激しい方だ。
40,I use difficult words.,難しい言葉を使う。
41,I don't mind being the center of attention.,注目の中心になっても構わない。
42,I feel others' emotions.,他人の感情に敏感だ。
43,I follow a schedule.,計画（スケジュール）通りに行動する。
44,I get irritated easily.,イライラしやすい。
45,I spend time reflecting on things.,物事をじっくり考える時間を持つ。
46,I am quiet around strangers.,初対面の人たちの前では静かにしている。
47,I make people feel at ease.,周囲の人をリラックスさせる。
48,I am exacting in my work.,仕事に対して妥協しない。
49,I often feel blue.,よく落ち込む。
50,I am full of ideas.,アイデアに満ちている。
51,I am reserved.,控えめな性格だ。
52,I am generally trusting.,基本的に人を信頼している。
53,I tend to be lazy.,怠けがちだ。
54,I have few artistic interests.,芸術的な興味はほとんどない。
55,I am outgoing and sociable.,外向的で社交的だ。
56,I tend to find fault with others.,他人のあらを探しがちだ。
57,I do a thorough job.,仕事は徹底的にやる。
58,I get nervous easily.,緊張しやすい。
59,I warm up quickly to others.,初対面の人ともすぐに打ち解けられる。
60,I prefer to be alone.,一人でいることを好む。
61,I am always on the go.,常に何かに取り組んでいる。
62,I can talk others into doing things.,他人を説得して動かすのが得意だ。
63,I seek quiet.,静かな環境を好む。
64,I am assertive and take charge.,積極的に意見を言い、主導権を握る。
65,I hold back from expressing my opinions.,自分の意見を言うのを控える。
66,I enjoy being part of a group.,グループの一員でいることを好む。
67,I let things proceed at their own pace.,物事を成り行きに任せる。
68,I am not easily bothered by things.,細かいことは気にしない。
69,I become overwhelmed by emotions.,感情に飲み込まれやすい。
70,I am calm,冷静で落ち着いている方だ。
71,I am afraid that I will do the wrong thing.,間違いを犯すことを恐れている。
72,I keep my cool.,常に冷静さを失わない。
73,I do things I later regret.,後で後悔するようなことをしてしまう。
74,I love to read challenging material.,難解な本を読むのを好む
75,I am interested in many things.,多くのことに興味がある。
76,I try to understand myself.,自分自身を理解しようと努める。
77,I believe in the importance of art.,芸術の重要性を信じている。
78,I prefer to stick with things that I know.,慣れ親しんだものを好む。
79,I tend to vote for conservative political candidates.,変化よりも安定を好む。
80,I suspect hidden motives in others.,他人の行動の裏を読んでしまう。
81,I trust others.,他人を信頼する。
82,I contradict others.,他人の意見に反論することが多い。
83,I value cooperation over competition.,競争よりも協調を重んじる。
84,I am easy to satisfy.,現状に満足しやすい。
85,I think highly of myself.,自己評価が高い。
86,I put people under pressure.,他人にプレッシャーをかける。
87,I complete tasks successfully.,やりかけた仕事を最後までやり遂げる。
88,I often make last-minute plans.,間際になって予定を立てることが多い。
89,I excel in what I do.,やるからには、人より優れた成果を出す。
90,I postpone decisions.,決断を先延ばしにする。
91,I work hard.,一生懸命に働く（取り組む）。
92,I pay my bills on time.,支払い期限をきちんと守る。
93,I don't see the consequences of things.,行動のあとの影響を予測しない
94,I believe that others have good intentions.,人は善意を持っていると信じている。
95,I am patient with people.,人に対して忍耐強い。
96,I accept people as they are.,ありのままの他人を受け入れる。
97,I can be cold and aloof.,他人に対して冷淡な態度をとることがある。
98,I am skeptical of others' intentions.,他人の意図を疑ってかかる。
99,I look down on others.,他人を見下す。
100,I am diligent and persistent.,勤勉で粘り強い。
101,I like to plan things in advance.,物事を前もって計画するのが好きだ。
102,I have trouble starting tasks.,タスクを始めるのが苦手だ。
103,I am easily distracted.,注意散漫になりやすい。
104,I rush into things.,物事に突進する。
105,I neglect my duties.,自分の義務を怠る。
106,I am emotionally stable.,感情的に安定している。
107,I am not easily annoyed.,簡単にイライラしない。
108,I rarely feel anxious or afraid.,不安や恐れを感じることはめったにない。
109,I handle setbacks well.,挫折にうまく対処する。
110,I am secure in myself.,自分に自信を持っている。
111,I am content with my life.,自分の人生に満足している。
112,My emotions are quite steady.,私の感情は非常に安定している。
113,I feel at peace most of the time.,ほとんどの場合、心の平穏を感じている。
114,I am cheerful and high-spirited.,陽気で元気いっぱいだ。
115,I love large parties.,大きなパーティーが大好きだ。
116,I find it hard to approach others.,初対面の人や他人に、自分から話しかけるのは苦手だ。
117,I prefer to spend time alone.,一人で時間を過ごすことを好む。
118,I enjoy thinking about complex problems.,複雑な問題について考えるのを楽しむ。
119,I am curious about the world.,世界について好奇心が強い。
120,I avoid philosophical discussions.,哲学的な議論を避ける。
121,I am not interested in theoretical concepts.,理論的な概念に興味がない。
122,I dislike change.,変化が嫌いだ。
123,I prefer simple,シンプルなものを好む。
124,I have a limited imagination.,想像力が乏しい。
125,I avoid intellectual challenges.,頭をひどく使うようなことは避ける。
